,Y89Di,Nd143Di,Nd144Di,Nd145Di,Nd146Di,Sm147Di,Sm149Di,Nd150Di,Eu151Di,Sm154Di,Gd155Di,Gd160Di,Dy161Di,Dy163Di,Dy164Di,Er166Di,Er167Di,Er168Di,Er170Di,Yb171Di,Yb173Di
naive b cells,,,1,,,,,,,-1,,,,-1,,,,-1,-1,,
memory b cells,,,1,,,,,,,1,,,,-1,,,,-1,-1,,
classical monocytes,,,-1,,,1,,,,,,,1,-1,,,,1,-1,-1,1
transitional monocytes,,,-1,,,1,,,,,,,-1,-1,,,,1,-1,-1,1
non-classical monocytes,,,-1,,,1,,,,,,,-1,-1,,,,-1,-1,-1,1
basophils,,1,-1,,,-1,,,,,,,,-1,,1,,,-1,-1,-1
early nks,1,-1,-1,,,,,1,,,-1,,,1,,,,-1,-1,-1,
late nks,1,-1,-1,,,,,1,,,1,,,1,,,,-1,-1,-1,
pdc,,1,,,,-1,,,,,,,,,,,,-1,-1,-1,1
mdc,,-1,-1,,,1,,,,,,,1,,,,,-1,-1,-1,1
cd8 naive,1,,-1,-1,1,-1,-1,1,-1,,,,,,-1,,1,-1,1,-1,
cd8 central memory,1,,-1,-1,1,-1,1,-1,-1,,,,,,-1,,1,-1,1,-1,
cd8 effector memory,1,,-1,-1,1,-1,,,-1,1,,,,,-1,,1,-1,1,-1,
cd8 terminal effector,1,,-1,-1,1,-1,,,-1,-1,,,,,-1,,1,-1,1,-1,
cd4 naive,1,,-1,1,-1,-1,-1,1,,,,,,,-1,,1,-1,1,-1,
cd4 central memory,1,,-1,1,-1,-1,1,-1,,,,,,,-1,,1,-1,1,-1,
cd4 effector memory,1,,-1,1,-1,-1,1,-1,,1,,,,,-1,,-1,-1,1,-1,
cd4 terminal memory,1,,-1,1,-1,-1,1,-1,,-1,,,,,-1,,-1,-1,1,-1,
cd4- mait/nkt,1,,-1,-1,,-1,,,1,,,1,,,,,,-1,1,-1,
cd4-cd8-gd t cells,1,,-1,-1,-1,-1,,,,,,,,,1,,,-1,1,-1,
